Domain,IP,App,Service
VOD,freesam.kt.com,14.32.69.19,e스포츠라이브
VOD,175.207.124.71,175.207.124.71,e스포츠라이브
VOD,175.207.124.74,175.207.124.74,e스포츠라이브
VOD,175.207.124.75,175.207.124.75,e스포츠라이브
VOD,175.207.124.78,175.207.124.78,e스포츠라이브
VOD,175.207.124.79,175.207.124.79,e스포츠라이브
VOD,service.game-mode.net,18.179.87.8,e스포츠라이브
VOD,service.game-mode.net,18.182.156.239,e스포츠라이브
VOD,fgelw.esports.kt.com,211.252.120.38,e스포츠라이브
VOD,service.game-mode.net,52.193.83.111,e스포츠라이브
VOD,service.game-mode.net,52.197.13.201,e스포츠라이브
VOD,service.game-mode.net,52.69.185.5,e스포츠라이브
VOD,59.18.30.144,59.18.30.144,e스포츠라이브