Domain,IP,App,Service,공통여부
152.199.41.10,152.199.41.10,Wavve,5GX,FALSE
1.255.140.70,1.255.140.70,Wavve,VR,FALSE
nxlog.oksusu.com,1.255.140.70,Wavve,VR,FALSE
152.199.41.10,152.199.41.10,Wavve,VR,FALSE
104.18.225.52,104.18.225.52,Wavve,e스포츠,FALSE
onesignal.com,104.18.225.52,Wavve,e스포츠,FALSE
bookmark3.pooq.co.kr,13.225.105.39,Wavve,e스포츠,FALSE
114.108.157.17,114.108.157.17,Wavve,광고,FALSE
152.199.41.10,152.199.41.10,Wavve,광고,FALSE
152.199.41.10,152.199.41.10,Wavve,영화,FALSE
d2ihp1a8eyb4of.cloudfront.net,13.225.114.86,Wavve,방송 동영상,FALSE
cs106.wpc.iotacdn.net,152.199.41.10,Wavve,방송 동영상,FALSE
203.133.166.32,203.133.166.32,Wavve,방송 동영상,FALSE
capi.samsungcloud.com,34.213.234.192,Wavve,방송 동영상,FALSE
152.199.41.10,152.199.41.10,Wavve,라이브,FALSE
apac-tokyo.u.waas.oci.oraclecloud.net,152.70.36.22,Wavve,라이브,FALSE
vod-c7903.cdn.pooq.co.kr,13.225.105.2,Wavve,멀티뷰,FALSE
152.199.41.10,152.199.41.10,Wavve,멀티뷰,FALSE
pooq3-static-json.wavve.com,13.225.105.120,Wavve,앱시작,FALSE
dx97o0rxahsp4.cloudfront.net,13.225.105.49,Wavve,앱시작,FALSE
d3fmvko9o8lma2.cloudfront.net,13.225.105.57,Wavve,앱시작,FALSE
apis.pooq.co.kr,13.225.105.67,Wavve,앱시작,FALSE
cs106.wpc.iotacdn.net,152.199.41.10,Wavve,앱시작,FALSE
cs106.wpc.iotacdn.net,152.199.41.10,Wavve,해외시리즈,FALSE
152.199.41.10,152.199.41.10,Wavve,해외시리즈,FALSE
Domain,IP,App,Service,공통여부
211.188.147.16,211.188.147.16,TMap,지도-일반지도,FALSE
211.188.203.41,211.188.203.41,TMap,지도-일반지도,FALSE
183.111.129.147,183.111.129.147,TMap,지도-주변검색,FALSE
211.188.147.16,211.188.147.16,TMap,지도-주변검색,FALSE
223.39.115.137,223.39.115.137,TMap,지도-주변검색,FALSE
223.62.244.200,223.62.244.200,TMap,지도-주변검색,FALSE
183.111.129.147,183.111.129.147,TMap,지도-항공지도,FALSE
211.188.147.16,211.188.147.16,TMap,길찾기,FALSE
rake.tmap.co.kr,211.188.147.16,TMap,길찾기,FALSE
nog-app.sktnugu.com,211.188.147.64,TMap,길찾기,TRUE
tremoteye.sktelecom.com,211.188.149.4,TMap,길찾기,FALSE
farm41.ids.onestore.co.kr,211.188.203.41,TMap,길찾기,FALSE
211.188.203.41,211.188.203.41,TMap,길찾기,FALSE
toptmap.tmap.co.kr,223.39.115.141,TMap,길찾기,FALSE
dbp.sktelecom.com,223.39.118.141,TMap,길찾기,FALSE
223.62.244.200,223.62.244.200,TMap,길찾기,FALSE
ntmap2.tmap.co.kr,223.62.244.200,TMap,길찾기,FALSE
d1iskralo6mo11.cloudfront.net,13.227.74.12,TMap,앱시작,FALSE
rake.tmap.co.kr,211.188.147.16,TMap,앱시작,FALSE
auth.tidcgl.skt-id.co.kr,211.188.153.51,TMap,앱시작,TRUE
farm68.ids.onestore.co.kr,211.188.203.68,TMap,앱시작,FALSE
ntmap.tmap.co.kr,223.39.115.162,TMap,앱시작,FALSE
connectmoment.tmap.co.kr,223.39.115.164,TMap,앱시작,FALSE
dbp.sktelecom.com,223.39.118.141,TMap,앱시작,FALSE
api.sktnugu.com,223.39.118.176,TMap,앱시작,TRUE
rdv.t-aicloud.co.kr,223.39.123.194,TMap,앱시작,FALSE
config.vsm.tmap.co.kr,223.62.244.204,TMap,앱시작,FALSE
adservfnt-asia.adsmoloco.com,35.201.94.185,TMap,앱시작,FALSE
server-99-84-230-44.sfo5.r.cloudfront.net,99.84.230.44,TMap,앱시작,FALSE
rake.tmap.co.kr,211.188.147.16,TMap,운전점수,FALSE
cdn.tmap.co.kr,223.39.115.137,TMap,운전점수,FALSE
223.39.115.137,223.39.115.137,TMap,운전점수,FALSE
toptmap.tmap.co.kr,223.39.115.141,TMap,운전점수,FALSE
toptmaptile2.tmap.co.kr,223.39.115.147,TMap,운전점수,FALSE
223.39.115.166,223.39.115.166,TMap,운전점수,FALSE
Domain,IP,App,Service,공통여부
idm.skplanet.com,1.234.81.14,Syrup,쿠폰,FALSE
1.234.81.14,1.234.81.14,Syrup,쿠폰,FALSE
175.126.178.115,175.126.178.115,Syrup,쿠폰,FALSE
175.126.178.116,175.126.178.116,Syrup,쿠폰,FALSE
203.235.200.18,203.235.200.18,Syrup,쿠폰,TRUE
58.228.245.66,58.228.245.66,Syrup,쿠폰,FALSE
175.126.178.115,175.126.178.115,Syrup,멤버십,FALSE
175.126.178.116,175.126.178.116,Syrup,멤버십,FALSE
175.126.178.135,175.126.178.135,Syrup,멤버십,FALSE
rake.skplanet.com,203.235.200.18,Syrup,멤버십,TRUE
skpsyrup.cache.scs.skcdn.co.kr,211.110.12.146,Syrup,멤버십,FALSE
developers.gl.kakao.com,27.0.237.18,Syrup,멤버십,FALSE
27.0.237.18,27.0.237.18,Syrup,멤버십,FALSE
103.77.85.10,103.77.85.10,Syrup,앱시작,FALSE
17.173.66.181,17.173.66.181,Syrup,앱시작,FALSE
175.126.178.115,175.126.178.115,Syrup,앱시작,FALSE
175.126.178.127,175.126.178.127,Syrup,앱시작,FALSE
203.227.232.68,203.227.232.68,Syrup,앱시작,FALSE
203.235.200.18,203.235.200.18,Syrup,앱시작,TRUE
211.217.201.11,211.217.201.11,Syrup,앱시작,FALSE
222.122.30.116,222.122.30.116,Syrup,앱시작,FALSE
mt.skpsyrup.cache.scs.skcdn.co.kr,58.228.245.66,Syrup,앱시작,FALSE
banking.nonghyup.com,61.37.254.31,Syrup,앱시작,FALSE
card.kbcard.com,61.78.157.11,Syrup,앱시작,FALSE
tl-in-f102.1e100.net,64.233.189.102,Syrup,앱시작,FALSE
idm.skplanet.com,1.234.81.14,Syrup,이벤트,FALSE
17.248.161.74,17.248.161.74,Syrup,이벤트,FALSE
175.126.178.115,175.126.178.115,Syrup,이벤트,FALSE
175.126.178.116,175.126.178.116,Syrup,이벤트,FALSE
175.126.178.132,175.126.178.132,Syrup,이벤트,FALSE
175.126.178.135,175.126.178.135,Syrup,이벤트,FALSE
203.235.200.18,203.235.200.18,Syrup,이벤트,TRUE
mt.skpsyrup.cache.scs.skcdn.co.kr,211.110.12.146,Syrup,이벤트,FALSE
58.228.245.66,58.228.245.66,Syrup,이벤트,FALSE
17.188.165.90,17.188.165.90,Syrup,내금융-은행조회,FALSE
kul09s04-in-f3.1e100.net,172.217.31.35,Syrup,내금융-은행조회,FALSE
syrup-appif.smartwallet.co.kr,175.126.178.115,Syrup,내금융-은행조회,FALSE
175.126.178.115,175.126.178.115,Syrup,내금융-은행조회,FALSE
175.126.178.116,175.126.178.116,Syrup,내금융-은행조회,FALSE
203.235.200.18,203.235.200.18,Syrup,내금융-은행조회,TRUE
211.110.12.146,211.110.12.146,Syrup,내금융-은행조회,FALSE
skpis.cache.scs.skcdn.co.kr,211.110.12.147,Syrup,내금융-은행조회,FALSE
211.110.12.147,211.110.12.147,Syrup,내금융-은행조회,FALSE
222.122.30.116,222.122.30.116,Syrup,내금융-은행조회,FALSE
58.228.245.66,58.228.245.66,Syrup,내금융-은행조회,FALSE
card.nonghyup.com,61.37.254.26,Syrup,내금융-은행조회,FALSE
175.126.178.116,175.126.178.116,Syrup,내금융-카드조회,FALSE
203.235.200.18,203.235.200.18,Syrup,내금융-카드조회,TRUE
skpis.cache.scs.skcdn.co.kr,211.110.12.146,Syrup,내금융-카드조회,FALSE
211.110.12.146,211.110.12.146,Syrup,내금융-카드조회,FALSE
mt.skpsyrup.cache.scs.skcdn.co.kr,58.228.245.66,Syrup,내금융-카드조회,FALSE
58.228.245.66,58.228.245.66,Syrup,내금융-카드조회,FALSE
t-smartwallet.nate.com,175.126.178.116,Syrup,해외쇼핑,FALSE
175.126.178.116,175.126.178.116,Syrup,해외쇼핑,FALSE
175.126.178.135,175.126.178.135,Syrup,해외쇼핑,FALSE
rake.skplanet.com,203.235.200.18,Syrup,해외쇼핑,TRUE
203.235.200.18,203.235.200.18,Syrup,해외쇼핑,TRUE
mt.skpsyrup.cache.scs.skcdn.co.kr,211.110.12.146,Syrup,해외쇼핑,FALSE
skppoc.cache.scs.skcdn.co.kr,58.228.245.66,Syrup,해외쇼핑,FALSE
Domain,IP,App,Service,공통여부
nog-app.sktnugu.com,211.188.147.64,Nugu,앱시작,TRUE
223.39.118.176,223.39.118.176,Nugu,앱시작,TRUE
auth.tidcgl.skt-id.co.kr,223.62.245.51,Nugu,앱시작,TRUE
api.snapcraft.io,91.189.92.38,Nugu,앱시작,FALSE
Domain,IP,App,Service,공통여부
ingestion.log.infra.music-flo.io,13.209.122.132,FLO,앱시작,FALSE
203.235.200.18,203.235.200.18,FLO,앱시작,TRUE
image-music-flo.dlacc.skcdn.com,211.110.226.78,FLO,앱시작,FALSE
www3.musicmates.co.kr,211.188.213.110,FLO,앱시작,FALSE
211.188.213.110,211.188.213.110,FLO,앱시작,FALSE
www3.music-flo.com,211.188.213.119,FLO,앱시작,FALSE
211.188.213.37,211.188.213.37,FLO,앱시작,FALSE
ingestion.log.infra.music-flo.io,13.209.122.132,FLO,음악재생,FALSE
203.235.200.18,203.235.200.18,FLO,음악재생,TRUE
image-music-flo.dlacc.skcdn.com,211.110.226.78,FLO,음악재생,FALSE
211.188.213.37,211.188.213.37,FLO,음악재생,FALSE
music-flo.dlacc.skcdn.com,211.233.18.24,FLO,음악재생,FALSE
image-music-flo.dlacc.skcdn.com,211.110.226.78,FLO,동영상재생,FALSE
211.188.213.37,211.188.213.37,FLO,동영상재생,FALSE
auth-video-flo.dlacc.skcdn.com,222.239.240.107,FLO,동영상재생,FALSE
ingestion.log.infra.music-flo.io,52.78.146.29,FLO,동영상재생,FALSE
175.126.177.78,175.126.177.78,FLO,리스트탐색,FALSE
203.235.200.18,203.235.200.18,FLO,리스트탐색,TRUE
image-music-flo.dlacc.skcdn.com,211.110.226.78,FLO,리스트탐색,FALSE
211.188.213.37,211.188.213.37,FLO,리스트탐색,FALSE
